maxRandom,totalNumbers,SequentialTime,ParallelTime
1000,1000,0.0013772,0.001127558
151000,151000,0.268445837,0.175495106
301000,301000,0.528011478,0.324687896
451000,451000,0.823588947,0.528248139
601000,601000,1.139542382,0.680747977
751000,751000,1.426912567,0.827647531
901000,901000,1.758650076,1.025477365
1051000,1051000,2.129947456,1.230497171
1201000,1201000,2.30085745,1.325826511
1351000,1351000,2.644007077,1.518078032
1501000,1501000,2.94368032,1.652105727
1651000,1651000,3.33867535,2.099642682
1801000,1801000,3.858425662,2.021647212
1951000,1951000,3.872719988,2.134176174
2101000,2101000,4.282319069,2.350968765
2251000,2251000,4.492317196,2.479977332
2401000,2401000,4.818277959,2.727697841
2551000,2551000,5.318893665,2.882642647
2701000,2701000,5.527072787,3.091973054
2851000,2851000,5.958595006,3.321058846
3001000,3001000,6.375405099,3.438513919
3151000,3151000,6.77313203,3.699338833
3301000,3301000,6.724499343,3.650573863
3451000,3451000,7.332923923,4.011650924
3601000,3601000,7.590015468,4.217341294
3751000,3751000,8.045321026,4.284647469
3901000,3901000,8.242491215,4.64846354
4051000,4051000,8.423784682,4.803832483
4201000,4201000,8.862196163,4.842981319
4351000,4351000,9.204479701,5.053991437
4501000,4501000,9.639276804,5.31201064
4651000,4651000,9.950251912,5.512782574
4801000,4801000,10.41163637,5.621298724
4951000,4951000,10.69314438,5.808670653
5101000,5101000,10.77813101,5.958281099
5251000,5251000,11.31429195,6.071389732
5401000,5401000,11.42741415,6.404169271
5551000,5551000,12.46964109,6.521646923
5701000,5701000,12.54642693,6.642585415
5851000,5851000,12.57108712,6.930934109
6001000,6001000,12.76447871,7.0845622
6151000,6151000,13.08727682,7.241463725
6301000,6301000,13.60843579,7.54576277
6451000,6451000,14.58795542,7.810387243
6601000,6601000,14.17838856,7.638434782
6751000,6751000,14.25110151,7.943739629
6901000,6901000,14.8472028,8.078145496
7051000,7051000,15.63332649,8.489045088
7201000,7201000,15.92449147,8.734119946
7351000,7351000,15.98939008,8.77894308
7501000,7501000,16.14653116,8.995699366
7651000,7651000,17.16979314,9.205528349
7801000,7801000,18.06930109,9.383587733
7951000,7951000,17.58910706,9.517738318
8101000,8101000,17.73474588,9.712464373
8251000,8251000,18.06235556,9.805388036
8401000,8401000,18.69463523,10.03870055
8551000,8551000,19.64209226,10.29866792
