maxRandom,totalNumbers,SequentialTime,ParallelTime
151000,151000,0.0013237,0.056490183
301000,301000,0.382082701,0.345239162
451000,451000,0.863847971,0.632511139
601000,601000,1.503553867,1.268934011
751000,751000,1.972473145,1.700705051
901000,901000,2.690028906,1.670933008
1051000,1051000,3.090673923,2.005488157
1201000,1201000,3.827046156,2.407296658
1351000,1351000,4.64084506,3.148121119
1501000,1501000,5.162326813,3.121993065
1651000,1651000,6.077091932,4.530479908
1801000,1801000,6.760748148,4.339921951
1951000,1951000,6.888750076,4.292737007
2101000,2101000,7.703214169,6.486897945
2251000,2251000,8.970468998,5.895447969
2401000,2401000,9.472088099,6.188711882
2551000,2551000,10.05217004,5.693976641
2701000,2701000,11.07473397,7.598020077
2851000,2851000,11.36249089,7.13137579
3001000,3001000,12.79999208,7.140000105
3151000,3151000,13.26226807,8.178178072
3301000,3301000,14.52607512,10.48275614
3451000,3451000,14.39461493,9.088675022
3601000,3601000,15.92486286,11.117836
3751000,3751000,17.96338797,16.88107395
3901000,3901000,17.42716384,10.07783103
4051000,4051000,17.79473901,11.36521411
4201000,4201000,19.09749317,12.41048789
4351000,4351000,20.21764112,15.66561389
4501000,4501000,20.12412906,11.37530279
4651000,4651000,21.32744908,14.71429515
4801000,4801000,22.11199903,14.26322198
4951000,4951000,23.00202227,13.7797389
5101000,5101000,23.7066021,13.74288368
5251000,5251000,24.50188994,13.46334791
5401000,5401000,25.77719593,16.34170818
5551000,5551000,26.6038332,16.83496428
5701000,5701000,27.91499329,18.82430291
5851000,5851000,29.53969598,22.89326882
6001000,6001000,28.97697902,21.22239399
6151000,6151000,30.43514991,19.54870415
6301000,6301000,32.25683093,27.90393806
6451000,6451000,34.10699439,23.49948287
6601000,6601000,32.70221806,24.58400106
6751000,6751000,33.57030106,23.28058028
6901000,6901000,35.93670201,24.47741389
7051000,7051000,34.58167124,23.77339387
7201000,7201000,35.85366392,23.58401895
7351000,7351000,37.65005708,27.64282703
7501000,7501000,38.10761714,23.27000213
7651000,7651000,37.91945672,24.67392302
7801000,7801000,39.9660151,27.75889206
7951000,7951000,39.62497306,22.24007702
8101000,8101000,41.39237213,26.17680001
8251000,8251000,42.51671791,29.29795003
8401000,8401000,42.49393392,29.01756191
8551000,8551000,44.52651787,31.13021898
8701000,8701000,46.00549603,33.20462799
8851000,8851000,46.16783595,29.05001402
9001000,9001000,46.96397495,31.16162324
9151000,9151000,49.04537606,34.15277505
9301000,9301000,48.75044203,41.43581676
9451000,9451000,49.19528913,32.32799888
9601000,9601000,51.49570727,34.99195313
9751000,9751000,50.77220178,44.48372316
9901000,9901000,54.05715704,36.1745131
10051000,10051000,53.41358685,37.80251598
10201000,10201000,54.47419333,41.03015614
10351000,10351000,53.5374012,41.51902199
10501000,10501000,57.33837795,46.11626697
10651000,10651000,57.76599193,37.13878918
10801000,10801000,56.37641597,39.47583723
10951000,10951000,62.3320241,49.84456587
11101000,11101000,58.18523717,48.73267579
11251000,11251000,59.54856873,38.60167289
11401000,11401000,63.60883307,53.42997694
11551000,11551000,63.13990617,50.0657711
11701000,11701000,65.39188313,54.16423702
11851000,11851000,62.9043889,51.62319875
12001000,12001000,66.74021006,52.31995821
12151000,12151000,65.95973992,52.10138273
12301000,12301000,66.49552822,52.018152
12451000,12451000,69.19794893,47.46114397
12601000,12601000,70.07785201,53.4309411
12751000,12751000,68.65305376,56.09555602
12901000,12901000,71.2599721,51.97692895
13051000,13051000,71.99930406,66.9813242
13201000,13201000,73.75824285,62.47685981
13351000,13351000,74.13433194,54.59620595
13501000,13501000,77.62686706,55.71354508
13651000,13651000,74.42504382,80.32767105
13801000,13801000,78.89209819,58.74884009
13951000,13951000,78.40588903,60.7991519
14101000,14101000,80.10243607,69.76002526
14251000,14251000,79.77317286,54.38516402
14401000,14401000,81.21993303,59.15694118
14551000,14551000,83.78555369,65.48339295
14701000,14701000,84.74451375,89.39960504
14851000,14851000,86.92747903,62.27946281
15001000,15001000,83.73421812,75.85895824
